fixture_id	public_contract	fe_nereids_observation	sqlglot_observation	sqlglot_version	resolution	advisory_only
2.1-industrial	released-docs	not-run-offline	accepted	30.14.0	released docs 2.1 document industrial-select; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
2.1-boundary-empty	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
2.1-boundary-single	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
2.1-contextual-keyword	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
2.1-invalid-encoding	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
3.x-industrial	released-docs	not-run-offline	accepted	30.14.0	released docs 3.x document industrial-select; sqlglot 30.14.0 accepts the fixture; SDK supports it per the released-docs manifest; agreement	true
3.x-boundary-set-one	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
3.x-boundary-set-many	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
3.x-recovery	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
3.x-unsupported-profile	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
4.x-industrial	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x document industrial-select; sqlglot 30.14.0 rejects the fixture; SDK follows the released-docs authority; disagreement recorded, advisory only; ParseError: Invalid expression / Unexpected token. Line 7, Col: 6. 1 PRECEDING AND CURRENT ROW) AS running FROM (SELECT k, v, ts FRO	true
4.x-boundary-set-two	released-docs	not-run-offline	not-run-offline	30.14.0	fixture SQL is embedded in MoonBit test code, not a corpus SQL file; differential skipped for this row; public support is determined only by the released-docs manifest (D-07)	true
4.x-recovery	released-docs	not-run-offline	rejected	30.14.0	released docs 4.x mark malformed-recovery expected-error; sqlglot 30.14.0 also rejects; agreement, advisory only; ParseError: Required keyword: 'this' missing for <class 'sqlglot.expressions.query.Where'>. Line 7, Col: 24. ata-modification/DML/UP	true
